勘定科目,M0,M3,M6,M12,M13,M15,M27
ASSETS - 資産,,,,,,,
Current Assets - 流動資産,,,,,,,
現金及び現金同等物 (Cash & Equivalents),500000,370000,520000,780000,4780000,4220000,2950000
売掛金 (Accounts Receivable),0,0,0,15000,35000,45000,180000
その他流動資産 (Other Current Assets),5000,5000,5000,5000,10000,15000,25000
流動資産計 (Current Assets Total),505000,375000,525000,800000,4825000,4280000,3155000
,,,,,,
Non-Current Assets - 非流動資産,,,,,,,
固定資産 (Fixed Assets - PPE),0,25000,45000,65000,85000,95000,135000
減価償却累計額 (Accumulated Depreciation),0,-2500,-5000,-10000,-12500,-15000,-25000
無形資産 (Intangible Assets),0,30000,75000,180000,280000,330000,550000
ソフトウェア開発資本化 (Capitalized Software Dev),0,30000,75000,180000,280000,330000,550000
その他長期資産 (Other LT Assets),0,0,0,0,0,0,0
非流動資産計 (Non-current Assets Total),0,52500,115000,235000,352500,410000,660000
,,,,,,
TOTAL ASSETS - 資産合計,505000,427500,640000,1035000,5177500,4690000,3815000
,,,,,,
,,,,,,
LIABILITIES - 負債,,,,,,,
Current Liabilities - 流動負債,,,,,,,
買掛金 (Accounts Payable),10000,15000,20000,35000,60000,75000,140000
未払い費用 (Accrued Expenses),5000,12000,20000,40000,80000,100000,180000
前受金 (Deferred Revenue),0,0,0,0,0,0,0
短期債務 (Current Portion of Debt),0,0,0,0,0,0,0
流動負債計 (Current Liabilities Total),15000,27000,40000,75000,140000,175000,320000
,,,,,,
Non-Current Liabilities - 非流動負債,,,,,,,
長期借入金 (Long-term Debt),0,0,0,0,0,0,0
非流動負債計 (Non-current Liabilities Total),0,0,0,0,0,0,0
,,,,,,
TOTAL LIABILITIES - 負債合計,15000,27000,40000,75000,140000,175000,320000
,,,,,,
,,,,,,
EQUITY - 純資産,,,,,,,
普通株式 (Common Stock),500000,500000,500000,500000,500000,500000,500000
SAFE/転換社債 (SAFE Notes Outstanding),0,0,0,0,0,0,0
利益剰余金/累積赤字 (Retained Earnings / Accumulated Deficit),-10000,-99500,-100000,-540000,4537500,4015000,2995000
純資産計 (Total Equity),490000,400500,400000,960000,5037500,4515000,3495000
,,,,,,
TOTAL LIABILITIES + EQUITY - 負債純資産合計,505000,427500,440000,1035000,5177500,4690000,3815000
,,,,,,
Check: Assets = Liabilities + Equity?,✓,✓,✓,✓,✓,✓,✓
