勘定科目,M0,M3,M6,M12,M13,M15,M27
REVENUE - 売上高,,,,,,,
プロダクト売上 (Product Revenue),0,0,15000,85000,130000,250000,1200000
スターター層 (Starter Tier),0,0,8000,35000,50000,120000,500000
プロ層 (Pro Tier),0,0,7000,40000,60000,100000,600000
エンタープライズ層 (Enterprise Tier),0,0,0,10000,20000,30000,100000
売上高合計 (Total Revenue),0,0,15000,85000,130000,250000,1200000
,,,,,,
COST OF REVENUE - 売上原価,,,,,,,
ホスティング・インフラコスト (Hosting & Infrastructure),0,0,2500,12000,20000,35000,140000
決済処理手数料 (Payment Processing Fees),0,0,1050,5950,9100,17500,84000
Blockchain RPC コスト (Blockchain RPC Costs),0,0,500,2500,3500,6000,30000
サポート・運用コスト (Support & Ops Costs),0,0,1000,5000,8000,15000,60000
売上原価合計 (Total COGS),0,0,5050,25450,40600,73500,314000
,,,,,,
売上総利益 (Gross Profit),0,0,9950,59550,89400,176500,886000
売上総利益率 (Gross Margin %),N/A,N/A,66.3%,70.0%,68.8%,70.6%,73.8%
,,,,,,
OPERATING EXPENSES - 営業費用,,,,,,,
Sales & Marketing - 販売・マーケティング,,,,,,,
マーケティング支出 (Marketing Spend),8000,12000,15000,20000,30000,40000,80000
営業・マーケティング給与 (Sales/Marketing Salaries),20000,30000,35000,45000,60000,80000,150000
イベント・カンファレンス (Events & Conferences),0,2000,3000,5000,8000,10000,20000
S&M 小計 (S&M Total),28000,44000,53000,70000,98000,130000,250000
,,,,,,
Research & Development - 研究開発,,,,,,,
エンジニア給与 (Engineering Salaries),35000,45000,55000,80000,130000,160000,280000
ツール・インフラ (Tools & Infrastructure),3000,5000,7000,10000,15000,20000,40000
開発支出その他 (Development Expenses),2000,3000,4000,6000,10000,12000,25000
R&D 小計 (R&D Total),40000,53000,66000,96000,155000,192000,345000
,,,,,,
General & Administrative - 総務管理,,,,,,,
CEO 給与 (CEO Salary),20000,20000,20000,20000,30000,30000,35000
財務・会計 (Finance & Accounting),2000,3000,4000,6000,10000,12000,20000
法務・コンプライアンス (Legal & Compliance),3000,3000,4000,7000,12000,15000,30000
オフィス・施設 (Office & Facilities),3000,5000,5000,8000,12000,15000,25000
保険・福利厚生 (Insurance & Benefits),2000,4000,5000,8000,12000,15000,25000
その他 G&A (Other G&A),1000,2000,2000,3000,5000,6000,10000
G&A 小計 (G&A Total),31000,37000,40000,52000,81000,93000,145000
,,,,,,
営業費用合計 (TOTAL OPEX),99000,134000,159000,218000,334000,415000,740000
,,,,,,
EBITDA,99000,134000,-149050,-158450,-244600,-238500,146000
,,,,,,
OTHER EXPENSES - その他費用,,,,,,,
支払利息 (Interest Expense),0,0,0,0,0,0,0
減価償却・償却費 (Depreciation & Amortization),0,2500,5000,10000,12500,15000,25000
その他費用計 (Total Other),0,2500,5000,10000,12500,15000,25000
,,,,,,
税前純利益 (Net Income before Taxes),-99000,-136500,-159050,-178450,-289600,-268500,96000
税金 (Taxes - 0% for loss),0,0,0,0,0,0,0
純利益 (Net Income),-99000,-136500,-159050,-178450,-289600,-268500,96000
,,,,,,
純利益率 (Net Margin %),N/A,N/A,-1060%,-210%,-223%,-107%,8.0%
